Track name,Artist name,Album,Playlist name,Type,ISRC,Amazon - id
"PUSH 2 START","Tyla","TYLA +","Library Songs","Favorite","USSM12407085","B0DJJCN6KJ"
"No One Else","Chris Brown","11:11 [Clean]","Library Songs","Favorite","USRC12302905","B0CMYX4F7C"
"Gadhithalupula","Karthik","Mirapakay","Library Songs","Favorite","INA091012691","B07568444M"
"wRoNg [Explicit]","ZAYN","Mind Of Mine (Deluxe Edition) [Explicit]","Library Songs","Favorite","USRC11600392","B01C5752JO"
"One Right Now [Explicit]","Post Malone","One Right Now [Explicit]","Library Songs","Favorite","USUM72120404","B09KYBD5V5"
"After Hours","The Weeknd","After Hours [Explicit]","Library Songs","Favorite","USUG12000586","B084VW9HYJ"
"Die For You (Remix)","The Weeknd","Starboy (Deluxe) [Clean]","Library Songs","Favorite","USUG12301287","B0BYCB5VKN"
"SNAP","Rosa Linn","SNAP PACK","Library Songs","Favorite","USSM12207342","B0DC46RJN3"
"Bye Bye Bye","*NSYNC","No Strings Attached","Library Songs","Favorite","USJI10000001","B002TTPR30"
"Castle on the Hill","Ed Sheeran","÷ (Deluxe)","Library Songs","Favorite","GBAHS1600462","B01NBTSUSX"
"Good For You x One Of The Girls","dreamsoda","Good For You x One Of The Girls","Library Songs","Favorite","CA5KR2497652","B0GKG147F4"
"Good Days [Explicit]","SZA","SOS [Explicit]","Library Songs","Favorite","USRC12004189","B0BNY1RMH7"
"TIME","Citizen ","TIME","Library Songs","Favorite","QZK6F2691452","B0GP95JBMB"
"greedy [Explicit]","Tate McRae","THINK LATER [Explicit]","Library Songs","Favorite","USRC12301932","B0CN3SF8R1"
"Blue [Explicit]","Rey Mars Camahalan","Blue [Explicit]","Library Songs","Favorite","QZDA72548671","B0DVKSVDFR"
"12 to 12","sombr","I Barely Know Her","Library Songs","Favorite","USWB12502453","B0FLS3RJLL"
"A Little More [Explicit]","Ed Sheeran","Play (Deluxe) [Explicit]","Library Songs","Favorite","GBAHS2500247","B0FZWC9B5H"
"Open Arms","SZA","SOS [Explicit]","Library Songs","Favorite","USRC12204602","B0BNY1ZXLM"
"Counting Stars","OneRepublic","Native (Standard)","Library Songs","Favorite","USUM71301306","B073PBW2PH"
"Strangers","Kenya Grace","The After Taste [Explicit]","Library Songs","Favorite","USWB12305048","B0CY3G1FF7"
"Earned It (Fifty Shades Of Grey) (From The ""Fifty Shades Of Grey"" Soundtrack)","The Weeknd","Fifty Shades Of Grey (Original Motion Picture Soundtrack)","Library Songs","Favorite","USUG11401951","B073SF31NW"
"Aperture","Harry Styles","Kiss All The Time. Disco, Occasionally.","Library Songs","Favorite","USSM12600096","B0GJ6XNGY3"
"this is what winter feels like","JVKE","this is what winter feels like","Library Songs","Favorite","QM4TW2408705","B0CRMJDPBG"
"Callin' U (Tamally Maak)","Elyanna","WOLEDTO","Library Songs","Favorite","USA2P2416654","B0CYKDRNC1"
"thank u, next [Explicit]","Ariana Grande","thank u, next [Explicit]","Library Songs","Favorite","USUM71819361","B07N31C1CB"
"FEVER DREAM","Alex Warren","FEVER DREAM","Library Songs","Favorite","USAT22600670","B0GQ2Z4ZR5"
"Diet Pepsi","Addison Rae","Addison [Explicit]","Library Songs","Favorite","USSM12405456","B0F63S8B7X"
"DtMF [Explicit]","Bad Bunny","DeBÍ TiRAR MáS FOToS [Explicit]","Library Songs","Favorite","QMFMF2447070","B0DR9C8KVW"
"MONACO [Explicit]","Bad Bunny","nadie sabe lo que va a pasar mañana [Explicit]","Library Songs","Favorite","QMFME2364182","B0CKY374W9"
"Tití Me Preguntó [Explicit]","Bad Bunny","Un Verano Sin Ti [Explicit]","Library Songs","Favorite","QM6MZ2214878","B09ZL891KL"
"Die For Me [Explicit]","ZAYN","KONNAKOL [Explicit]","Library Songs","Favorite","USUG12600847","B0GKB5FFM4"
"Save Your Tears (Remix)","The Weeknd","Save Your Tears (Remix)","Library Songs","Favorite","USUG12101839","B092XNPXPN"
"End of Beginning","Djo","DECIDE [Explicit]","Library Songs","Favorite","GBKPL2205058","B0B5HLWPS4"
"One Right Now [Explicit]","Post Malone","Twelve Carat Toothache (Deluxe) [Explicit]","Library Songs","Favorite","USUM72120404","B0B3CDRTLY"
"Sogasu Chudatharama (From ""Telusu Kada"")","Thaman S","Sogasu Chudatharama (From ""Telusu Kada"")","Library Songs","Favorite","INT102501510","B0FS822N6X"
"WALKING AWAY [Explicit]","Justin Bieber","SWAG [Explicit]","Library Songs","Favorite","USUG12506179","B0FH9XG5DT"
"Naal Nachna","Shashwat Sachdev","Dhurandhar","Library Songs","Favorite","INH102507151","B0G599VB1Z"
"Gehra Hua","Shashwat Sachdev","Dhurandhar","Library Songs","Favorite","INH102506955","B0G59BMVJY"
"Raje Yuvaraje (From ""The Rajasaab"") - Telugu","Thaman S","Raje Yuvaraje (From ""The Rajasaab"") - Telugu","Library Songs","Favorite","INS182504702","B0GDGTNX88"
"Collide (feat. Tyga) [Explicit]","Justine Skye","Collide (Remix Pack) [Explicit]","Library Songs","Favorite","USAT21403439","B09Y9K2PYT"
"Love Me Harder","Ariana Grande","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUM71409728","B0CV9BRD5W"
"Popular [feat. Playboi Carti] [Explicit]","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG12303876","B0CV9F4ZXH"
"Save Your Tears [Explicit]","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG12000658","B0CV9QB7SC"
"F1","Hans Zimmer","F1® The Movie (Original Score By Hans Zimmer)","Library Songs","Favorite","USAT22504128","B0FG9VCQYQ"
"Sahana Sahana (From ""The Rajasaab"") [Telugu]","Thaman S","Sahana Sahana (From ""The Rajasaab"") [Telugu]","Library Songs","Favorite","INS182504522","B0G81HC5VL"
"One Of The Girls","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG12303881","B0CV9N2PXC"
"The Abyss","The Weeknd","Hurry Up Tomorrow [Explicit]","Library Songs","Favorite","USUG12501144","B0DVKPH82Y"
"Blinding Lights","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG11904206","B0CV9JP7RX"
"Niagara Falls [Explicit]","The Weeknd","Hurry Up Tomorrow [Explicit]","Library Songs","Favorite","USUG12501139","B0DVKL4VGK"
"Unforgettable [Explicit]","French Montana","R&B Summer Vibes [Explicit]","Library Songs","Favorite","USSM11703478","B094MT52N2"
"Hold On, We're Going Home (Album Version)","Drake","Nothing Was The Same (Deluxe) [Explicit]","Library Songs","Favorite","USCM51300762","B073PV4CKB"
"Please Me [Explicit]","Cardi B","Please Me [Explicit]","Library Songs","Favorite","USAT21811659","B07NQTVCFR"
"A Sky Full of Stars","Coldplay","Ghost Stories","Library Songs","Favorite","GBAYE1400226","B07VXXKB84"
"Creepin' [Explicit]","Metro Boomin","HEROES & VILLAINS [Explicit]","Library Songs","Favorite","USUG12208791","B0BNQYHCX9"
"24K Magic [Explicit]","Bruno Mars","24K Magic","Library Songs","Favorite","USAT21602945","B07VWC8N59"
"Nadhive (From ""The Girlfriend"")","Hesham Abdul Wahab","Nadhive (From ""The Girlfriend"")","Library Songs","Favorite","INS182502808","B0FHQ5C1JW"
"I Ain't Worried","OneRepublic","Top Gun: Maverick (Music From The Motion Picture)","Library Songs","Favorite","USUM72206227","B09Z7PZ34Z"
"Die With A Smile","Lady Gaga","MAYHEM [Explicit]","Library Songs","Favorite","USUM72409273","B0DV46JX83"
"Can't Feel My Face","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG11500741","B0CV93ZHV2"
"Let's Groove","Earth Wind & Fire","Raise!","Library Songs","Favorite","USSM18100641","B007YO8QBA"
"Guns and Roses","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172514942","B0FSD781W9"
"Trance of Omi","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172514924","B0FSD448N3"
"Firestorm","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172513435","B0FSD4YC96"
"Suvvi Suvvi","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172514671","B0FSD6BG3Q"
"Hungry Cheetah","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172308525","B0FSD3S59Q"
"Washi Yo Washi","Thaman S","They Call Him OG (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS172515001","B0FSD1YSXB"
"Chinni Gundelo (From ""Andhra King Taluka"")","Vivek-Mervin","Chinni Gundelo (From ""Andhra King Taluka"")","Library Songs","Favorite","INS182504089","B0FYQBQM19"
"Rebel Saab (From ""The Rajasaab"") (Telugu)","Thaman S","Rebel Saab (From ""The Rajasaab"") (Telugu)","Library Songs","Favorite","INS182504253","B0G3M7FZDC"
"Only Human","Jonas Brothers","Happiness Begins","Library Songs","Favorite","USUG11901281","B07R67MKLJ"
"In Your Eyes [Explicit]","The Weeknd","After Hours (Deluxe) [Explicit]","Library Songs","Favorite","USUG12000657","B086Q3SDQF"
"Neetho Alaa","Karthik","OK Bangaram (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS171500530","B00WNE6Y4W"
"Stay With Me (Re-record)","Sam Smith","In The Lonely Hour (10th Anniversary Edition / Deluxe)","Library Songs","Favorite","GBUM72402567","B0DF1PL3K8"
"Mount Everest [Explicit]","Labrinth","Imagination & the Misfit Kid [Explicit]","Library Songs","Favorite","GBHMU1800032","B07ZPGFC7Y"
"Toosie Slide [Explicit]","Drake","Dark Lane Demo Tapes [Explicit]","Library Songs","Favorite","USUG12001281","B087YSZ15Y"
"Lovin On Me [Explicit]","Jack Harlow","Lovin On Me [Explicit]","Library Songs","Favorite","USAT22311371","B0CMZ1BZ64"
"Wicked Games [Explicit]","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUM71211686","B0CV9LXHD9"
"Chikiri Chikiri (From ""Peddi"") [TELUGU] [Explicit]","A. R. Rahman","Chikiri Chikiri (From ""Peddi"") [TELUGU]","Library Songs","Favorite","INS182504135","B0G1BHZQG8"
"dRuNk","ZAYN","Mind Of Mine (Deluxe Edition) [Explicit]","Library Songs","Favorite","USRC11600389","B01C574Y1Q"
"Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans","Library Songs","Favorite","USAT21001269","B0043ZBIQI"
"They Don't Care About Us (Remastered Version) [Explicit]","Michael Jackson","Michael Jackson's This Is It","Library Songs","Favorite","USSM10905821","B002TUANWO"
"Vellipomaake","A. R. Rahman","Saahasam Swaasaga Saagipo","Library Songs","Favorite","INA091615177","B07568BPSR"
"Billie Jean","Michael Jackson","Thriller 25 Super Deluxe Edition","Library Songs","Favorite","USSM19902991","B075GFDWWL"
"bloodline [Explicit]","Ariana Grande","thank u, next [Explicit]","Library Songs","Favorite","USUM71900399","B07N31CSPT"
"PILLOWTALK [Explicit]","ZAYN","Mind Of Mine (Deluxe Edition) [Explicit]","Library Songs","Favorite","USRC11600042","B01C574RFE"
"Count on Me","Bruno Mars","Doo-Wops & Hooligans (Deluxe)","Library Songs","Favorite","USEE11000168","B00456FM76"
"APT.","ROSÉ","rosie [Explicit]","Library Songs","Favorite","USAT22409184","B0DJ3R4LNQ"
"Bale Bale Magadivoy","Sweta Pandit","Marocharitra","Library Songs","Favorite","INA091012425","B075692XQC"
"Maham Maye","Javed Ali","Komaram Puli (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS171000217","B00424S8GS"
"Take Me To Church","Hozier","Hozier (Special Edition)","Library Songs","Favorite","IEACJ1300031","B073RVTJ4G"
"Tak Bak (The Tak Bak of Tamizh)","Anirudh Ravichander","Thangamagan (Original Motion Picture Soundtrack)","Library Songs","Favorite","INS171501801","B073S9FXCZ"
"Kiss Me More [Explicit]","Doja Cat","Planet Her (Deluxe) [Explicit]","Library Songs","Favorite","USRC12100543","B097Z9PZ7Y"
"love nwantiti (ah ah ah) [Explicit]","CKay","CKay The First [Explicit]","Library Songs","Favorite","QMEU31910213","B07X83TF2P"
"Pray For Me [Explicit]","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUM71800001","B0CV9GRD54"
"Love Me","Sandeep Chowta","Bujjigadu","Library Songs","Favorite","INA090811434","B07568D5ZF"
"Heartless [Explicit]","The Weeknd","After Hours (Deluxe) [Explicit]","Library Songs","Favorite","USUG11904007","B086Q2SZK3"
"Trampoline","SHAED","Trampoline","Library Songs","Favorite","QZ47A1900210","B0F7WVP5V1"
"SAD GIRLZ LUV MONEY (Remix) [feat. Kali Uchis & Moliy] [Explicit]","Amaarae","SAD GIRLZ LUV MONEY (Remix) [Explicit]","Library Songs","Favorite","US23A1540104","B09M4SSK79"
"Boyfriend [Explicit]","Dove Cameron","Summer Pop Party Songs [Explicit]","Library Songs","Favorite","USQX92200693","B0B29JKW1C"
"back to friends","sombr","I Barely Know Her","Library Songs","Favorite","USWB12405502","B0FLRZKJDF"
"STAY [Explicit]","The Kid LAROI","F*CK LOVE 3+: OVER YOU [Explicit]","Library Songs","Favorite","USSM12103949","B09B8SVFK2"
"Something Just Like This","The Chainsmokers","Memories...Do Not Open [Explicit]","Library Songs","Favorite","USQX91700278","B075GGWSWL"
"O Nesthamai","Aditya Ravindran","Couple Friendly","Library Songs","Favorite","INA092620395","B0FNN6G6G2"
"That's What I Like","Bruno Mars","24K Magic","Library Songs","Favorite","USAT21602956","B07VTQZMJ2"
"Popular (From The Idol Vol. 1 (Music from the HBO Original Series)) [feat. Playboi Carti] [Explicit]","The Weeknd","Popular (Music from the HBO Original Series) [Explicit]","Library Songs","Favorite","USUG12303876","B0C7LSG5SS"
"Trance of Omi (From ""They Call Him OG"")","Thaman S","Trance of Omi (From ""They Call Him OG"")","Library Songs","Favorite","INS172514924","B0FQPKLSJP"
"Suvvi Suvvi (From ""They Call Him OG"")","Thaman S","Suvvi Suvvi (From ""They Call Him OG"")","Library Songs","Favorite","INS172514671","B0FNW14R2M"
"Save Your Tears [Explicit]","The Weeknd","The Highlights [Explicit]","Library Songs","Favorite","USUG12000658","B08V4SMPGF"
"São Paulo [Explicit]","The Weeknd","Hurry Up Tomorrow [Explicit]","Library Songs","Favorite","USUG12405846","B0DVKGMVFJ"
"Vinaraa (From ""Salaar Cease Fire - Telugu"")","Ravi Basrur","Vinaraa (From ""Salaar Cease Fire - Telugu"")","Library Songs","Favorite","IND292212517","B0CQXTV4R5"
"POPSTAR [Explicit]","DJ Khaled","POPSTAR [Explicit]","Library Songs","Favorite","USSM12004501","B08D5X9YND"
"SICKO MODE [Explicit]","Travis Scott","ASTROWORLD [Explicit]","Library Songs","Favorite","USSM11806660","B07G4DJNJ6"
"Too Many Nights [feat. Don Toliver] [Explicit]","Metro Boomin","HEROES & VILLAINS [Explicit]","Library Songs","Favorite","USUG12208784","B0BNQX9WH9"
"Turn Up the Music","Chris Brown","Fortune (Expanded Edition) [Explicit]","Library Songs","Favorite","USRC11200099","B07PNCMRJ7"
"POPPIN’ MY S*** [Explicit]","Justin Bieber","SWAG II [Explicit]","Library Songs","Favorite","USUG12508248","B0FPX197HH"
"Sally, When The Wine Runs Out [Explicit]","ROLE MODEL","Kansas Anymore (The Longest Goodbye) [Explicit]","Library Songs","Favorite","USUM72500706","B0DVLV7N3T"
"OH MAN","Justin Bieber","SWAG II [Explicit]","Library Songs","Favorite","USUG12508130","B0FPWY6DYB"
"NEED IT","Justin Bieber","SWAG II [Explicit]","Library Songs","Favorite","USUG12508129","B0FPWX5NVT"
"The Mood","FLO","The Mood","Library Songs","Favorite","GBUM72503442","B0FFSSJBJH"
"a thousand years","Christina Perri","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack) [Deluxe]","Library Songs","Favorite","USAT21102141","B00637UJVO"
"back to friends","sombr","back to friends","Library Songs","Favorite","USWB12405502","B0DQZ4KRMC"
"Chedhu Nijam","Geetha Madhuri","Hi Nanna - Telugu","Library Songs","Favorite","INS182303580","B0CQ58XKHJ"
"Raa Chilaka","G.V.Prakash Kumar","Ongolu Gittha","Library Songs","Favorite","INA091313861","B0752VMRZS"
"Holy [feat. Chance The Rapper]","Justin Bieber","Justice (Triple Chucks Deluxe) [Clean]","Library Songs","Favorite","USUM72017013","B0915Z2PB7"
"Lolly [feat. Juicy J & Justin Bieber] [Explicit]","Maejor Ali","Lolly [Explicit]","Library Songs","Favorite","USUM71311708","B073PWPMGL"
"All Around The World [feat. Ludacris]","Justin Bieber","Believe (Deluxe Edition)","Library Songs","Favorite","USUM71205293","B073H5489K"
"Heartbreaker (Single Version)","Justin Bieber","#NSFW the Playlist [Explicit]","Library Songs","Favorite","USUM71314172","B081B2FV3T"
"ALL I CAN TAKE","Justin Bieber","SWAG [Explicit]","Library Songs","Favorite","USUG12506172","B0FH9FW1DP"
"Messy (From F1® The Movie)","ROSÉ","Messy (From F1® The Movie)","Library Songs","Favorite","USAT22503388","B0F7NWHHDT"
"Cry For Me [Explicit]","The Weeknd","Hurry Up Tomorrow [Explicit]","Library Songs","Favorite","USUG12501129","B0DVKL57L3"
"YUKON","Justin Bieber","SWAG [Clean]","Library Songs","Favorite","USUG12506174","B0FH9XDFJV"
"Broken Clocks [Explicit]","SZA","Ctrl (Deluxe) [Explicit]","Library Songs","Favorite","USRC11701122","B0B3G5FW7L"
"Hurts So Good","Astrid S","Astrid S","Library Songs","Favorite","NOUM71600843","B073SHXQDV"
"Danger Pilla","Armaan Malik","Extra - Ordinary Man","Library Songs","Favorite","INA092318793","B0CDH7B54J"
"LOVE. [feat. Zacari]","Kendrick Lamar","DAMN. [Explicit]","Library Songs","Favorite","USUM71703088","B073T5NJ5W"
"Timeless [Explicit]","The Weeknd","Hurry Up Tomorrow [Explicit]","Library Songs","Favorite","USUG12406536","B0DVKRLFKM"
"Tadow (feat. FKJ) (feat. FKJ)","Masego","FG Chill Out #2 - The Deep House & Lounge Music Must Have Selection","Library Songs","Favorite","QZD5H1800032","B07QH7RMRL"
"Die Hard [Explicit]","Kendrick Lamar","Mr. Morale & The Big Steppers [Explicit]","Library Songs","Favorite","USUM72208965","B0B15Q5L8F"
"Summertime Sadness","Lana Del Rey","Born To Die (Deluxe Version) [Explicit]","Library Songs","Favorite","GBUM71111565","B073NZ2C2Y"
"Apocalypse","Cigarettes After Sex","Apocalypse","Library Songs","Favorite","USBQU1700034","B073T7PSQV"
"Congratulations [feat. Quavo] [Explicit]","Post Malone","Stoney (Deluxe) [Explicit]","Library Songs","Favorite","USUM71614484","B073SYPWTK"
"Firestorm (From ""They Call Him OG"")","Thaman S","Firestorm (From ""They Call Him OG"")","Library Songs","Favorite","INS172513435","B0FKWGF8WZ"
"Starboy [feat. Daft Punk] [Explicit]","The Weeknd","The Highlights (Deluxe) [Explicit]","Library Songs","Favorite","USUG11600976","B0CV9GPK33"
"DAISIES","Justin Bieber","SWAG [Explicit]","Library Songs","Favorite","USUG12504304","B0FH9P64R3"
"Neeli Meghamulalo","Prithvi Harish","35 Chinna Katha Kaadu","Library Songs","Favorite","INA092419552","B0DFHKD2SR"
"Inthandham (From ""Sita Ramam (Telugu)"") [Explicit]","Vishal Chandrasekhar","Inthandham (From ""Sita Ramam (Telugu)"")","Library Songs","Favorite","INS172203084","B0B5RXFXMH"
"Pink + White [Explicit]","Frank Ocean","Blonde [Explicit]","Library Songs","Favorite","QZ5C81600003","B01LZQFJJL"
"Lonely [Explicit]","Akon","Lonely","Library Songs","Favorite","USUR10400235","B073H885JH"
"On My Way [Explicit]","Alan Walker","On My Way [Explicit]","Library Songs","Favorite","NOG841901010","B07PFXDS73"
"On The Floor [Explicit]","Jennifer Lopez","LOVE? (Deluxe Edition)","Library Songs","Favorite","USUM71104034","B073NMP6LP"
"Enemy (from the series Arcane League of Legends)","Imagine Dragons","Mercury - Act 1 (Additional Track Version)","Library Songs","Favorite","USUM72119916","B09RF2SVMS"
"At My Worst","Pink Sweat$","PINK PLANET","Library Songs","Favorite","USAT22003823","B08W1P3WKM"
"MIDDLE OF THE NIGHT","Elley Duhé","MIDDLE OF THE NIGHT","Library Songs","Favorite","USRC11903813","B083G6FRNJ"
"Dancing With Your Ghost","Sasha Alex Sloan","Self Portrait [Explicit]","Library Songs","Favorite","USRC11901644","B07YZR72QG"
"Swimming Pools (Drank) (Extended Version) [Explicit]","Kendrick Lamar","good kid, m.A.A.d city (Deluxe) [Explicit]","Library Songs","Favorite","USUM71211089","B073PS7FPB"
"See You Again (feat. Charlie Puth)","Wiz Khalifa","Furious 7: Original Motion Picture Soundtrack (Deluxe) [Explicit]","Library Songs","Favorite","USAT21500313","B013WOLP3G"
"People","Libianca","People","Library Songs","Favorite","QZTB52268087","B0BP9JQX85"
"Dancing With A Stranger","Sam Smith","Dancing With A Stranger","Library Songs","Favorite","GBUM71807386","B07MHTTTSF"
"Save Your Tears [Explicit]","The Weeknd","After Hours (Deluxe) [Explicit]","Library Songs","Favorite","USUG12000658","B086Q7VZBF"
"Dusk Till Dawn","ZAYN","Dusk Till Dawn","Library Songs","Favorite","USRC11701783","B0759VLHQ2"
"Premalo (From ""Court"")","Vijai Bulganin","Premalo (From ""Court"")","Library Songs","Favorite","INH102500921","B0DX2DP7SV"
"YUKON","Justin Bieber","SWAG [Explicit]","Library Songs","Favorite","USUG12506174","B0FH9QVQ2V"
"Without Me [Explicit]","Halsey","Manic [Explicit]","Library Songs","Favorite","USUM71813499","B07XQS4FYV"
"Young And Beautiful","Lana Del Rey","Young And Beautiful","Library Songs","Favorite","GBUM71301823","B073PKJ2YC"
"Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Don Toliver","Lose My Mind (feat. Doja Cat) [From F1® The Movie]","Library Songs","Favorite","USAT22503116","B0F6PSBFJ9"
"Oka Praanam","Kaala Bhairava","Baahubali 2 - The Conclusion (Telugu)","Library Songs","Favorite","INL161700091","B0GWMM3W6P"
"Sahiba","Jasleen Royal","Sahiba","Library Songs","Favorite","INW262400729","B0D1YBJHLL"
"Sahiba","Aditya Rikhari","Sahiba","Library Songs","Favorite","INS182303606","B0CQ5C4LDX"
"A Vachi B Pai","M.M.Keeravani","Chatrapathi","Library Songs","Favorite","INA090710982","B07567SWQC"
"Bhoogolamamntha","Adnan Sami","Shankardada Zindabad","Library Songs","Favorite","INA090711150","B07569G7YH"
"Have Mercy [Explicit]","Chlöe","Have Mercy [Explicit]","Library Songs","Favorite","USSM12105357","B09FMYMDZQ"
"Goodies","Ciara","Goodies","Library Songs","Favorite","USLF20400041","B073LPBQQR"
"That’s So True [Explicit]","Gracie Abrams","The Secret of Us (Deluxe) [Explicit]","Library Songs","Favorite","USUG12406903","B0DJWWZ4H6"
"Ullaasam (From ""Saripodhaa Sanivaaram"")","Jakes Bejoy","Ullaasam (From ""Saripodhaa Sanivaaram"")","Library Songs","Favorite","INS172409382","B0D9DNFXDG"
"Mancheli","Anup Rubens","Autonagar Surya","Library Songs","Favorite","INA091414422","B07531DFT8"
"Gusa Gusa","Sagar","Sarocharu","Library Songs","Favorite","INA091213799","B07568B93Y"
"Nuvvu Muttukunte","K. G. Ranjith","Yamadonga (Original Motion Picture Soundtrack)","Library Songs","Favorite","FRX872025224","B08KF5XHLL"
"Sudue Sude","Sandeep Chowta","Bujjigadu","Library Songs","Favorite","INA090811433","B07566B374"
"Mellaga","S.P. Charan","Varsham","Library Songs","Favorite","INA090309751","B07568QD41"
"Vennelintha","Venu Srirangam","Tulasi (Original Motion Picture Soundtrack)","Library Songs","Favorite","DGA072365740","B0CDXQYDW7"
"Kopama Napina","Karthik","Varsham","Library Songs","Favorite","INA090309754","B07568JQM9"
"Theme Of Kalki (From ""Kalki 2898 AD"") (Telugu)","Kaala Bhairava","Theme Of Kalki (From ""Kalki 2898 AD"") (Telugu)","Library Songs","Favorite","INH102408194","B0D7Z9MPKT"
"Yela Yela","Sunitha","Aata","Library Songs","Favorite","INA090711091","B07568TPWV"
"Ra Ra Reddy I Am Ready","Lipisika","Macherla Niyojakavargam","Library Songs","Favorite","INA092218189","B0B65RV6GY"
"Gundu Sudhi","M.M.Keeravani","Chatrapathi","Library Songs","Favorite","INA090710987","B07567X73R"
"Oororo Yogi","Karthik","Yogi","Library Songs","Favorite","INA090932294","B07569V18G"
"Sapphire","Ed Sheeran","Play [Explicit]","Library Songs","Favorite","GBAHS2500177","B0F6PLWLL5"
"Ordinary","Alex Warren","Ordinary","Library Songs","Favorite","USAT22500463","B0DVKTPCX3"
"Oopiri","Karthik","Pilla Zamindar","Library Songs","Favorite","INA091113088","B07569NHN3"
"seaside_demo","SEB","seaside_demo","Library Songs","Favorite","QZ93L2115464","B097XNHG6W"
"Ammaye Challo Antu","Yazin Nizar","Chalo","Library Songs","Favorite","INA091715675","B07KMDC5SR"
"Sundari Neeve","S. P. Balasubrahmanyam","Dalapathi","Library Songs","Favorite","INA090203623","B07567M8VG"
"Manohara","Harris Jayaraj","Cheli (Original Motion Picture Soundtrack)","Library Songs","Favorite","INT100100992","B0CX96ZC41"
"Avunu Nijam","KK","Athadu","Library Songs","Favorite","INA090710907","B07569BF85"
"Tholi Vayase","Ghibran","Khakee","Library Songs","Favorite","INA091715572","B07KM22SW2"
"Laali Laali","Ghibran","Khakee","Library Songs","Favorite","INA091715573","B07KLT657Z"
"Kalla Boli","Ghibran","Khakee","Library Songs","Favorite","INA091715570","B07KM4QJGH"
"Little Bit Better","Caleb Hearn","Left on McKinney","Library Songs","Favorite","CAN112400401","B0DCD6CDQN"
"Beggin' [Explicit]","Måneskin","Chosen [Explicit]","Library Songs","Favorite","ITB001700846","B0785GTW4T"
"Hridayam Lopala","Anirudh Ravichander","Kingdom","Library Songs","Favorite","INA092519946","B0F79N6ZB4"
"Blinding Lights","The Weeknd","After Hours (Deluxe) [Clean]","Library Songs","Favorite","USUG11904206","B086Q41M9C"
"Naanum (From ""Navarasa"")","Karthik","Naanum (From ""Navarasa"")","Library Songs","Favorite","INT202102745","B099RYD25M"
"Adhirudha (From ""Navarasa"")","Karthik","Adhirudha (From ""Navarasa"")","Library Songs","Favorite","INT202102746","B099WXB7P9"
"Thooriga (From ""Navarasa"")","Karthik","Thooriga (From ""Navarasa"")","Library Songs","Favorite","INT202102736","B09967DDZP"
"Pray For Me [Explicit]","The Weeknd","Black Panther The Album Music From And Inspired By [Explicit]","Library Songs","Favorite","USUM71800001","B078SFNYTT"
"Ammayi (From ""ANIMAL"") [Telugu]","Raghav Chaitanya","Ammayi (From ""ANIMAL"") [Telugu]","Library Songs","Favorite","INS182302920","B0CKVD67JY"
"Prema Velluva (From ""Hit - 3"") (Telugu)","Sid Sriram","Prema Velluva (From ""Hit - 3"") (Telugu)","Library Songs","Favorite","INH102501342","B0F27XLL6H"
"Padhaaa (From ""Stand Up Rahul"")","Sweekar Agasthi","Padhaaa (From ""Stand Up Rahul"")","Library Songs","Favorite","INS172200240","B09QM9H4KC"
"Thanu (From ""Hit - 3"") (Telugu)","Anirudh Ravichander","Thanu (From ""Hit - 3"") (Telugu)","Library Songs","Favorite","INH102502114","B0F6D1P12Y"
"My Stupid Heart (Kids Version) [Clean]","Walk Off the Earth","My Stupid Heart (Kids Version)","Library Songs","Favorite","QM4TW2376926","B0BV7JD3VJ"
"Nee Chepakallu","Devi Sri Prasad","Sardaar Gabbar Singh (Original Motion Picture Soundtrack)","Library Songs","Favorite","GBSGZ1500671","B0FXMFYLP2"
"Rakaasi Rakaasi","Jr.NTR","Rabhasa","Library Songs","Favorite","INA091414633","B07524K2VV"
"HUMBLE. [Explicit]","Kendrick Lamar","DAMN. [Explicit]","Library Songs","Favorite","USUM71703085","B073T5GZLB"
